"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.5"
"x= 193, f(x) = 503.539, t(x) = 550.665, Yintra = 228.206, Yextra = 778.871, Igx = 193.5"
"x= 194, f(x) = 504.75, t(x) = 550.332, Yintra = 229.583, Yextra = 779.916, Igx = 194.5"
"x= 195, f(x) = 505.946, t(x) = 549.988, Yintra = 230.952, Yextra = 780.94, Igx = 195.5"
"x= 196, f(x) = 507.128, t(x) = 549.633, Yintra = 232.311, Yextra = 781.945, Igx = 196.5"
"x= 197, f(x) = 508.296, t(x) = 549.267, Yintra = 233.662, Yextra = 782.929, Igx = 197.5"
"x= 198, f(x) = 509.449, t(x) = 548.891, Yintra = 235.003, Yextra = 783.894, Igx = 198.5"
"x= 199, f(x) = 510.587, t(x) = 548.503, Yintra = 236.336, Yextra = 784.839, Igx = 199.5"
"x= 200, f(x) = 511.712, t(x) = 548.105, Yintra = 237.659, Yextra = 785.764, Igx = 200.5"
"x= 201, f(x) = 512.822, t(x) = 547.696, Yintra = 238.974, Yextra = 786.67, Igx = 201.5"
"x= 202, f(x) = 513.917, t(x) = 547.277, Yintra = 240.279, Yextra = 787.555, Igx = 202.5"
"x= 203, f(x) = 514.998, t(x) = 546.847, Yintra = 241.575, Yextra = 788.422, Igx = 203.5"
"x= 204, f(x) = 516.065, t(x) = 546.406, Yintra = 242.862, Yextra = 789.268, Igx = 204.5"
"x= 205, f(x) = 517.117, t(x) = 545.956, Yintra = 244.139, Yextra = 790.095, Igx = 205.5"
"x= 206, f(x) = 518.155, t(x) = 545.495, Yintra = 245.408, Yextra = 790.902, Igx = 206.5"
"x= 207, f(x) = 519.178, t(x) = 545.024, Yintra = 246.666, Yextra = 791.69, Igx = 207.5"
"x= 208, f(x) = 520.187, t(x) = 544.543, Yintra = 247.916, Yextra = 792.459, Igx = 208.5"
"x= 209, f(x) = 521.182, t(x) = 544.051, Yintra = 249.156, Yextra = 793.208, Igx = 209.5"
"x= 210, f(x) = 522.162, t(x) = 543.55, Yintra = 250.387, Yextra = 793.937, Igx = 210.5"
"x= 211, f(x) = 523.128, t(x) = 543.039, Yintra = 251.609, Yextra = 794.647, Igx = 211.5"
"x= 212, f(x) = 524.079, t(x) = 542.518, Yintra = 252.82, Yextra = 795.338, Igx = 212.5"
"x= 213, f(x) = 525.016, t(x) = 541.987, Yintra = 254.023, Yextra = 796.01, Igx = 213.5"
"x= 214, f(x) = 525.939, t(x) = 541.446, Yintra = 255.216, Yextra = 796.662, Igx = 214.5"
"x= 215, f(x) = 526.847, t(x) = 540.896, Yintra = 256.399, Yextra = 797.295, Igx = 215.5"
"x= 216, f(x) = 527.741, t(x) = 540.336, Yintra = 257.573, Yextra = 797.909, Igx = 216.5"
"x= 217, f(x) = 528.62, t(x) = 539.767, Yintra = 258.737, Yextra = 798.503, Igx = 217.5"
"x= 218, f(x) = 529.485, t(x) = 539.188, Yintra = 259.891, Yextra = 799.078, Igx = 218.5"
"x= 219, f(x) = 530.335, t(x) = 538.599, Yintra = 261.035, Yextra = 799.635, Igx = 219.5"
"x= 220, f(x) = 531.171, t(x) = 538.002, Yintra = 262.17, Yextra = 800.172, Igx = 220.5"
"x= 221, f(x) = 531.993, t(x) = 537.395, Yintra = 263.295, Yextra = 800.69, Igx = 221.5"
"x= 222, f(x) = 532.8, t(x) = 536.779, Yintra = 264.411, Yextra = 801.189, Igx = 222.5"
"x= 223, f(x) = 533.593, t(x) = 536.153, Yintra = 265.516, Yextra = 801.669, Igx = 223.5"
"x= 224, f(x) = 534.371, t(x) = 535.519, Yintra = 266.612, Yextra = 802.13, Igx = 224.5"
"x= 225, f(x) = 535.135, t(x) = 534.875, Yintra = 267.698, Yextra = 802.573, Igx = 225.5"
"x= 226, f(x) = 535.885, t(x) = 534.223, Yintra = 268.773, Yextra = 802.996, Igx = 226.5"
"x= 227, f(x) = 536.62, t(x) = 533.561, Yintra = 269.839, Yextra = 803.4, Igx = 227.5"
"x= 228, f(x) = 537.341, t(x) = 532.891, Yintra = 270.895, Yextra = 803.786, Igx = 228.5"
"x= 229, f(x) = 538.047, t(x) = 532.211, Yintra = 271.941, Yextra = 804.153, Igx = 229.5"
"x= 230, f(x) = 538.739, t(x) = 531.523, Yintra = 272.977, Yextra = 804.5, Igx = 230.5"
"x= 231, f(x) = 539.416, t(x) = 530.827, Yintra = 274.003, Yextra = 804.83, Igx = 231.5"
"x= 232, f(x) = 540.079, t(x) = 530.122, Yintra = 275.019, Yextra = 805.14, Igx = 232.5"
"x= 233, f(x) = 540.728, t(x) = 529.408, Yintra = 276.024, Yextra = 805.432, Igx = 233.5"
"x= 234, f(x) = 541.362, t(x) = 528.685, Yintra = 277.02, Yextra = 805.705, Igx = 234.5"
"x= 235, f(x) = 541.982, t(x) = 527.954, Yintra = 278.005, Yextra = 805.959, Igx = 235.5"
"x= 236, f(x) = 542.587, t(x) = 527.215, Yintra = 278.98, Yextra = 806.195, Igx = 236.5"
"x= 237, f(x) = 543.178, t(x) = 526.467, Yintra = 279.945, Yextra = 806.412, Igx = 237.5"
"x= 238, f(x) = 543.755, t(x) = 525.711, Yintra = 280.9, Yextra = 806.61, Igx = 238.5"
"x= 239, f(x) = 544.317, t(x) = 524.946, Yintra = 281.844, Yextra = 806.79, Igx = 239.5"
"x= 240, f(x) = 544.865, t(x) = 524.173, Yintra = 282.778, Yextra = 806.952, Igx = 240.5"
"x= 241, f(x) = 545.398, t(x) = 523.393, Yintra = 283.702, Yextra = 807.094, Igx = 241.5"
"x= 242, f(x) = 545.917, t(x) = 522.604, Yintra = 284.615, Yextra = 807.219, Igx = 242.5"
"x= 243, f(x) = 546.422, t(x) = 521.806, Yintra = 285.518, Yextra = 807.325, Igx = 243.5"
"x= 244, f(x) = 546.912, t(x) = 521.001, Yintra = 286.411, Yextra = 807.412, Igx = 244.5"
