"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 44, f(x) = 1.056, t(x) = 0.705781, Yintra = 0.703109, Yextra = 1.40889, Igx = 0.024533"
"x= 44.25, f(x) = 1.01775, t(x) = 0.680363, Yintra = 0.677569, Yextra = 1.35793, Igx = 0.0219625"
"x= 44.5, f(x) = 0.979, t(x) = 0.654796, Yintra = 0.651602, Yextra = 1.3064, Igx = 0.0195482"
"x= 44.75, f(x) = 0.93975, t(x) = 0.629081, Yintra = 0.62521, Yextra = 1.25429, Igx = 0.01729"
"x= 45, f(x) = 0.9, t(x) = 0.603216, Yintra = 0.598392, Yextra = 1.20161, Igx = 0.0151875"
"x= 45.25, f(x) = 0.85975, t(x) = 0.577199, Yintra = 0.57115, Yextra = 1.14835, Igx = 0.0132396"
"x= 45.5, f(x) = 0.819, t(x) = 0.551031, Yintra = 0.543485, Yextra = 1.09452, Igx = 0.0114449"
"x= 45.75, f(x) = 0.77775, t(x) = 0.52471, Yintra = 0.515395, Yextra = 1.0401, Igx = 0.00980119"
"x= 46, f(x) = 0.736, t(x) = 0.498234, Yintra = 0.486883, Yextra = 0.985117, Igx = 0.00830601"
"x= 46.25, f(x) = 0.69375, t(x) = 0.471602, Yintra = 0.457949, Yextra = 0.929551, Igx = 0.00695613"
"x= 46.5, f(x) = 0.651, t(x) = 0.444814, Yintra = 0.428593, Yextra = 0.873407, Igx = 0.0057478"
"x= 46.75, f(x) = 0.60775, t(x) = 0.417868, Yintra = 0.398816, Yextra = 0.816684, Igx = 0.00467664"
"x= 47, f(x) = 0.564, t(x) = 0.390762, Yintra = 0.368619, Yextra = 0.759381, Igx = 0.00373763"
"x= 47.25, f(x) = 0.51975, t(x) = 0.363495, Yintra = 0.338002, Yextra = 0.701498, Igx = 0.00292511"
"x= 47.5, f(x) = 0.475, t(x) = 0.336066, Yintra = 0.306967, Yextra = 0.643033, Igx = 0.00223275"
"x= 47.75, f(x) = 0.42975, t(x) = 0.308473, Yintra = 0.275513, Yextra = 0.583987, Igx = 0.00165351"
"x= 48, f(x) = 0.384, t(x) = 0.280715, Yintra = 0.243642, Yextra = 0.524358, Igx = 0.00117965"
"x= 48.25, f(x) = 0.33775, t(x) = 0.25279, Yintra = 0.211355, Yextra = 0.464145, Igx = 0.000802684"
"x= 48.5, f(x) = 0.291, t(x) = 0.224697, Yintra = 0.178652, Yextra = 0.403348, Igx = 0.000513379"
"x= 48.75, f(x) = 0.24375, t(x) = 0.196433, Yintra = 0.145534, Yextra = 0.341966, Igx = 0.000301712"
"x= 49, f(x) = 0.196, t(x) = 0.167997, Yintra = 0.112001, Yextra = 0.279999, Igx = 0.000156865"
"x= 49.25, f(x) = 0.14775, t(x) = 0.139388, Yintra = 0.0780561, Yextra = 0.217444, Igx = 0.0000671957"
"x= 49.5, f(x) = 0.099, t(x) = 0.110603, Yintra = 0.0436985, Yextra = 0.154302, Igx = 0.0000202146"
"x= 49.75, f(x) = 0.04975, t(x) = 0.0816411, Yintra = 0.00892947, Yextra = 0.0905705, Igx = 0.0000025653"
"x= 50, f(x) = -0, t(x) = 0.0525, Yintra = -0.02625, Yextra = 0.02625, Igx = -0"
