"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.25"
"x= 75, f(x) = 75, t(x) = 52.6718, Yintra = 48.6641, Yextra = 101.336, Igx = 75.25"
"x= 75.5, f(x) = 73.99, t(x) = 51.8014, Yintra = 48.0893, Yextra = 99.8907, Igx = 75.75"
"x= 76, f(x) = 72.96, t(x) = 50.9255, Yintra = 47.4972, Yextra = 98.4228, Igx = 76.25"
"x= 76.5, f(x) = 71.91, t(x) = 50.0441, Yintra = 46.888, Yextra = 96.932, Igx = 76.75"
"x= 77, f(x) = 70.84, t(x) = 49.157, Yintra = 46.2615, Yextra = 95.4185, Igx = 77.25"
"x= 77.5, f(x) = 69.75, t(x) = 48.2645, Yintra = 45.6178, Yextra = 93.8822, Igx = 77.75"
"x= 78, f(x) = 68.64, t(x) = 47.3664, Yintra = 44.9568, Yextra = 92.3232, Igx = 78.25"
"x= 78.5, f(x) = 67.51, t(x) = 46.4628, Yintra = 44.2786, Yextra = 90.7414, Igx = 78.75"
"x= 79, f(x) = 66.36, t(x) = 45.5536, Yintra = 43.5832, Yextra = 89.1368, Igx = 79.25"
"x= 79.5, f(x) = 65.19, t(x) = 44.6389, Yintra = 42.8706, Yextra = 87.5094, Igx = 79.75"
"x= 80, f(x) = 64, t(x) = 43.7186, Yintra = 42.1407, Yextra = 85.8593, Igx = 80.25"
"x= 80.5, f(x) = 62.79, t(x) = 42.7928, Yintra = 41.3936, Yextra = 84.1864, Igx = 80.75"
"x= 81, f(x) = 61.56, t(x) = 41.8615, Yintra = 40.6293, Yextra = 82.4907, Igx = 81.25"
"x= 81.5, f(x) = 60.31, t(x) = 40.9246, Yintra = 39.8477, Yextra = 80.7723, Igx = 81.75"
"x= 82, f(x) = 59.04, t(x) = 39.9821, Yintra = 39.0489, Yextra = 79.0311, Igx = 82.25"
"x= 82.5, f(x) = 57.75, t(x) = 39.034, Yintra = 38.233, Yextra = 77.267, Igx = 82.75"
"x= 83, f(x) = 56.44, t(x) = 38.0804, Yintra = 37.3998, Yextra = 75.4802, Igx = 83.25"
"x= 83.5, f(x) = 55.11, t(x) = 37.1211, Yintra = 36.5494, Yextra = 73.6705, Igx = 83.75"
"x= 84, f(x) = 53.76, t(x) = 36.1562, Yintra = 35.6819, Yextra = 71.8381, Igx = 84.25"
"x= 84.5, f(x) = 52.39, t(x) = 35.1856, Yintra = 34.7972, Yextra = 69.9828, Igx = 84.75"
"x= 85, f(x) = 51, t(x) = 34.2094, Yintra = 33.8953, Yextra = 68.1047, Igx = 85.25"
"x= 85.5, f(x) = 49.59, t(x) = 33.2274, Yintra = 32.9763, Yextra = 66.2037, Igx = 85.75"
"x= 86, f(x) = 48.16, t(x) = 32.2398, Yintra = 32.0401, Yextra = 64.2799, Igx = 86.25"
"x= 86.5, f(x) = 46.71, t(x) = 31.2463, Yintra = 31.0868, Yextra = 62.3332, Igx = 86.75"
"x= 87, f(x) = 45.24, t(x) = 30.2471, Yintra = 30.1164, Yextra = 60.3636, Igx = 87.25"
"x= 87.5, f(x) = 43.75, t(x) = 29.2421, Yintra = 29.1289, Yextra = 58.3711, Igx = 87.75"
"x= 88, f(x) = 42.24, t(x) = 28.2313, Yintra = 28.1244, Yextra = 56.3556, Igx = 88.25"
"x= 88.5, f(x) = 40.71, t(x) = 27.2145, Yintra = 27.1027, Yextra = 54.3173, Igx = 88.75"
"x= 89, f(x) = 39.16, t(x) = 26.1919, Yintra = 26.0641, Yextra = 52.2559, Igx = 89.25"
"x= 89.5, f(x) = 37.59, t(x) = 25.1632, Yintra = 25.0084, Yextra = 50.1716, Igx = 89.75"
"x= 90, f(x) = 36, t(x) = 24.1286, Yintra = 23.9357, Yextra = 48.0643, Igx = 90.25"
"x= 90.5, f(x) = 34.39, t(x) = 23.088, Yintra = 22.846, Yextra = 45.934, Igx = 90.75"
