"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 3366.48, f(x) = 0, t(x) = 185.345, Yintra = -92.6724, Yextra = 92.6724, Igx = 10760400"
"x= 3386.76, f(x) = 0, t(x) = 180.676, Yintra = -90.3379, Yextra = 90.3379, Igx = 9967510"
"x= 3407.04, f(x) = 0, t(x) = 175.979, Yintra = -87.9897, Yextra = 87.9897, Igx = 9210270"
"x= 3427.32, f(x) = 0, t(x) = 171.255, Yintra = -85.6277, Yextra = 85.6277, Igx = 8488280"
"x= 3447.6, f(x) = 0, t(x) = 166.504, Yintra = -83.2519, Yextra = 83.2519, Igx = 7801170"
"x= 3467.88, f(x) = 0, t(x) = 161.725, Yintra = -80.8623, Yextra = 80.8623, Igx = 7148500"
"x= 3488.16, f(x) = 0, t(x) = 156.917, Yintra = -78.4587, Yextra = 78.4587, Igx = 6529800"
"x= 3508.44, f(x) = 0, t(x) = 152.082, Yintra = -76.0411, Yextra = 76.0411, Igx = 5944590"
"x= 3528.72, f(x) = 0, t(x) = 147.219, Yintra = -73.6094, Yextra = 73.6094, Igx = 5392340"
"x= 3549, f(x) = 0, t(x) = 142.327, Yintra = -71.1636, Yextra = 71.1636, Igx = 4872490"
"x= 3569.28, f(x) = 0, t(x) = 137.407, Yintra = -68.7036, Yextra = 68.7036, Igx = 4384450"
"x= 3589.56, f(x) = 0, t(x) = 132.458, Yintra = -66.2292, Yextra = 66.2292, Igx = 3927590"
"x= 3609.84, f(x) = 0, t(x) = 127.481, Yintra = -63.7405, Yextra = 63.7405, Igx = 3501250"
"x= 3630.12, f(x) = 0, t(x) = 122.474, Yintra = -61.2372, Yextra = 61.2372, Igx = 3104730"
"x= 3650.4, f(x) = 0, t(x) = 117.439, Yintra = -58.7194, Yextra = 58.7194, Igx = 2737300"
"x= 3670.68, f(x) = 0, t(x) = 112.374, Yintra = -56.1869, Yextra = 56.1869, Igx = 2398180"
"x= 3690.96, f(x) = 0, t(x) = 107.279, Yintra = -53.6396, Yextra = 53.6396, Igx = 2086570"
"x= 3711.24, f(x) = 0, t(x) = 102.155, Yintra = -51.0773, Yextra = 51.0773, Igx = 1801610"
"x= 3731.52, f(x) = 0, t(x) = 97.0001, Yintra = -48.5001, Yextra = 48.5001, Igx = 1542420"
"x= 3751.8, f(x) = 0, t(x) = 91.8153, Yintra = -45.9077, Yextra = 45.9077, Igx = 1308070"
"x= 3772.08, f(x) = 0, t(x) = 86.6, Yintra = -43.3, Yextra = 43.3, Igx = 1097590"
"x= 3792.36, f(x) = 0, t(x) = 81.3539, Yintra = -40.6769, Yextra = 40.6769, Igx = 909958"
"x= 3812.64, f(x) = 0, t(x) = 76.0767, Yintra = -38.0383, Yextra = 38.0383, Igx = 744117"
"x= 3832.92, f(x) = 0, t(x) = 70.7682, Yintra = -35.3841, Yextra = 35.3841, Igx = 598964"
"x= 3853.2, f(x) = 0, t(x) = 65.4281, Yintra = -32.714, Yextra = 32.714, Igx = 473346"
"x= 3873.48, f(x) = 0, t(x) = 60.0561, Yintra = -30.028, Yextra = 30.028, Igx = 366065"
"x= 3893.76, f(x) = 0, t(x) = 54.6519, Yintra = -27.3259, Yextra = 27.3259, Igx = 275869"
"x= 3914.04, f(x) = 0, t(x) = 49.2152, Yintra = -24.6076, Yextra = 24.6076, Igx = 201458"
"x= 3934.32, f(x) = 0, t(x) = 43.7457, Yintra = -21.8729, Yextra = 21.8729, Igx = 141479"
"x= 3954.6, f(x) = 0, t(x) = 38.2431, Yintra = -19.1215, Yextra = 19.1215, Igx = 94524.8"
"x= 3974.88, f(x) = 0, t(x) = 32.707, Yintra = -16.3535, Yextra = 16.3535, Igx = 59130.2"
"x= 3995.16, f(x) = 0, t(x) = 27.1371, Yintra = -13.5686, Yextra = 13.5686, Igx = 33773.6"
"x= 4015.44, f(x) = 0, t(x) = 21.5331, Yintra = -10.7665, Yextra = 10.7665, Igx = 16873.5"
"x= 4035.72, f(x) = 0, t(x) = 15.8945, Yintra = -7.94727, Yextra = 7.94727, Igx = 6786.26"
