"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0"
"x= 96385.2, f(x) = 41638.3, t(x) = 37612.5, Yintra = 22832.1, Yextra = 60444.6, Igx = 4.27391e15"
"x= 97349.1, f(x) = 42008, t(x) = 37747.3, Yintra = 23134.3, Yextra = 60881.6, Igx = 4.32004e15"
"x= 98312.9, f(x) = 42376.7, t(x) = 37880.8, Yintra = 23436.3, Yextra = 61317.1, Igx = 4.36603e15"
"x= 99276.8, f(x) = 42744.5, t(x) = 38012.9, Yintra = 23738.1, Yextra = 61751, Igx = 4.41186e15"
"x= 100241, f(x) = 43111.4, t(x) = 38143.7, Yintra = 24039.6, Yextra = 62183.2, Igx = 4.45755e15"
"x= 101204, f(x) = 43477.3, t(x) = 38273.1, Yintra = 24340.8, Yextra = 62613.9, Igx = 4.50309e15"
"x= 102168, f(x) = 43842.4, t(x) = 38401.2, Yintra = 24641.8, Yextra = 63043, Igx = 4.54846e15"
"x= 103132, f(x) = 44206.5, t(x) = 38528.1, Yintra = 24942.4, Yextra = 63470.5, Igx = 4.59368e15"
"x= 104096, f(x) = 44569.7, t(x) = 38653.6, Yintra = 25242.8, Yextra = 63896.5, Igx = 4.63874e15"
"x= 105060, f(x) = 44931.9, t(x) = 38777.9, Yintra = 25543, Yextra = 64320.9, Igx = 4.68363e15"
"x= 106024, f(x) = 45293.2, t(x) = 38901, Yintra = 25842.8, Yextra = 64743.7, Igx = 4.72835e15"
"x= 106988, f(x) = 45653.6, t(x) = 39022.8, Yintra = 26142.3, Yextra = 65165, Igx = 4.77291e15"
"x= 107951, f(x) = 46013.1, t(x) = 39143.3, Yintra = 26441.4, Yextra = 65584.8, Igx = 4.81729e15"
"x= 108915, f(x) = 46371.7, t(x) = 39262.7, Yintra = 26740.3, Yextra = 66003, Igx = 4.8615e15"
"x= 109879, f(x) = 46729.3, t(x) = 39380.9, Yintra = 27038.9, Yextra = 66419.7, Igx = 4.90553e15"
"x= 110843, f(x) = 47086, t(x) = 39497.9, Yintra = 27337.1, Yextra = 66834.9, Igx = 4.94938e15"
"x= 111807, f(x) = 47441.8, t(x) = 39613.7, Yintra = 27634.9, Yextra = 67248.6, Igx = 4.99305e15"
"x= 112771, f(x) = 47796.6, t(x) = 39728.4, Yintra = 27932.4, Yextra = 67660.8, Igx = 5.03653e15"
"x= 113735, f(x) = 48150.6, t(x) = 39841.9, Yintra = 28229.6, Yextra = 68071.5, Igx = 5.07983e15"
"x= 114698, f(x) = 48503.6, t(x) = 39954.3, Yintra = 28526.4, Yextra = 68480.7, Igx = 5.12295e15"
