"x= 0, f(x) = 0, t(x) = -0, Yintra = 0, Yextra = 0, Igx = 0.125"
"x= 40.5, f(x) = 6.156, t(x) = 4.18615, Yintra = 4.06293, Yextra = 8.24907, Igx = 40.625"
"x= 40.75, f(x) = 6.031, t(x) = 4.09246, Yintra = 3.98477, Yextra = 8.07723, Igx = 40.875"
"x= 41, f(x) = 5.904, t(x) = 3.99821, Yintra = 3.90489, Yextra = 7.90311, Igx = 41.125"
"x= 41.25, f(x) = 5.775, t(x) = 3.9034, Yintra = 3.8233, Yextra = 7.7267, Igx = 41.375"
"x= 41.5, f(x) = 5.644, t(x) = 3.80804, Yintra = 3.73998, Yextra = 7.54802, Igx = 41.625"
"x= 41.75, f(x) = 5.511, t(x) = 3.71211, Yintra = 3.65494, Yextra = 7.36705, Igx = 41.875"
"x= 42, f(x) = 5.376, t(x) = 3.61562, Yintra = 3.56819, Yextra = 7.18381, Igx = 42.125"
"x= 42.25, f(x) = 5.239, t(x) = 3.51856, Yintra = 3.47972, Yextra = 6.99828, Igx = 42.375"
"x= 42.5, f(x) = 5.1, t(x) = 3.42094, Yintra = 3.38953, Yextra = 6.81047, Igx = 42.625"
"x= 42.75, f(x) = 4.959, t(x) = 3.32274, Yintra = 3.29763, Yextra = 6.62037, Igx = 42.875"
"x= 43, f(x) = 4.816, t(x) = 3.22398, Yintra = 3.20401, Yextra = 6.42799, Igx = 43.125"
"x= 43.25, f(x) = 4.671, t(x) = 3.12463, Yintra = 3.10868, Yextra = 6.23332, Igx = 43.375"
"x= 43.5, f(x) = 4.524, t(x) = 3.02471, Yintra = 3.01164, Yextra = 6.03636, Igx = 43.625"
"x= 43.75, f(x) = 4.375, t(x) = 2.92421, Yintra = 2.91289, Yextra = 5.83711, Igx = 43.875"
"x= 44, f(x) = 4.224, t(x) = 2.82313, Yintra = 2.81244, Yextra = 5.63556, Igx = 44.125"
"x= 44.25, f(x) = 4.071, t(x) = 2.72145, Yintra = 2.71027, Yextra = 5.43173, Igx = 44.375"
"x= 44.5, f(x) = 3.916, t(x) = 2.61919, Yintra = 2.60641, Yextra = 5.22559, Igx = 44.625"
"x= 44.75, f(x) = 3.759, t(x) = 2.51632, Yintra = 2.50084, Yextra = 5.01716, Igx = 44.875"
"x= 45, f(x) = 3.6, t(x) = 2.41286, Yintra = 2.39357, Yextra = 4.80643, Igx = 45.125"
"x= 45.25, f(x) = 3.439, t(x) = 2.3088, Yintra = 2.2846, Yextra = 4.5934, Igx = 45.375"
"x= 45.5, f(x) = 3.276, t(x) = 2.20412, Yintra = 2.17394, Yextra = 4.37806, Igx = 45.625"
"x= 45.75, f(x) = 3.111, t(x) = 2.09884, Yintra = 2.06158, Yextra = 4.16042, Igx = 45.875"
"x= 46, f(x) = 2.944, t(x) = 1.99293, Yintra = 1.94753, Yextra = 3.94047, Igx = 46.125"
"x= 46.25, f(x) = 2.775, t(x) = 1.88641, Yintra = 1.8318, Yextra = 3.7182, Igx = 46.375"
"x= 46.5, f(x) = 2.604, t(x) = 1.77926, Yintra = 1.71437, Yextra = 3.49363, Igx = 46.625"
"x= 46.75, f(x) = 2.431, t(x) = 1.67147, Yintra = 1.59526, Yextra = 3.26674, Igx = 46.875"
"x= 47, f(x) = 2.256, t(x) = 1.56305, Yintra = 1.47448, Yextra = 3.03752, Igx = 47.125"
"x= 47.25, f(x) = 2.079, t(x) = 1.45398, Yintra = 1.35201, Yextra = 2.80599, Igx = 47.375"
"x= 47.5, f(x) = 1.9, t(x) = 1.34427, Yintra = 1.22787, Yextra = 2.57213, Igx = 47.625"
"x= 47.75, f(x) = 1.719, t(x) = 1.23389, Yintra = 1.10205, Yextra = 2.33595, Igx = 47.875"
"x= 48, f(x) = 1.536, t(x) = 1.12286, Yintra = 0.974569, Yextra = 2.09743, Igx = 48.125"
"x= 48.25, f(x) = 1.351, t(x) = 1.01116, Yintra = 0.84542, Yextra = 1.85658, Igx = 48.375"
"x= 48.5, f(x) = 1.164, t(x) = 0.898786, Yintra = 0.714607, Yextra = 1.61339, Igx = 48.625"
"x= 48.75, f(x) = 0.975, t(x) = 0.785731, Yintra = 0.582135, Yextra = 1.36787, Igx = 48.875"
"x= 49, f(x) = 0.784, t(x) = 0.671988, Yintra = 0.448006, Yextra = 1.11999, Igx = 49.125"
"x= 49.25, f(x) = 0.591, t(x) = 0.557551, Yintra = 0.312225, Yextra = 0.869775, Igx = 49.375"
"x= 49.5, f(x) = 0.396, t(x) = 0.442412, Yintra = 0.174794, Yextra = 0.617206, Igx = 49.625"
"x= 49.75, f(x) = 0.199, t(x) = 0.326564, Yintra = 0.0357179, Yextra = 0.362282, Igx = 49.875"
"x= 50, f(x) = -0, t(x) = 0.21, Yintra = -0.105, Yextra = 0.105, Igx = 50.125"
